,tweetID,tweetText,tweetRetweetCt,tweetFavoriteCt,tweetSource,tweetCreated,userID,userScreen,userName,userCreateDt,userDesc,userFollowerCt,userFriendsCt,userLocation,userTimezone
0,932382114351337472,You Can Get a Free #Postmates Unlimited Subscription Through Apple Pay https://t.co/f0miZJJdPa #freebies #applepay,0,0,Google,2017-11-19 22:56:33,134741365,Panoss_64,Panos,2010-04-19 09:21:35,"Seeing #technology always from a #business perspective.... also very curious about #digital, #social media, #mobile devices, #iPhone and #iPad and #wareables",1411,440,Athens,Athens
1,932380748048367616,You Can Get a Free Postmates Unlimited Subscription Through #ApplePay https://t.co/DxfrhFnfwg,0,0,dlvr.it,2017-11-19 22:51:07,17497054,stiel,Dan Stiel,2008-11-19 22:00:47,"I don't fight with bulls, swim with sharks, or fly wearing wingsuits. I'm just a marketing guy who likes to share interesting news w/friends.",1717,75,"Newport Beach, CA",Pacific Time (US & Canada)
2,932378562589577217,urbselect: lifehacker - You Can Get a Free Postmates Unlimited https://t.co/lp1oauoyQN #applepay #delivery #freebies #urbselect,0,0,urbselect autopost to twitter,2017-11-19 22:42:26,884382919455801344,urbselect,UrbSelect,2017-07-10 12:04:53,curated news,273,1532,"Dallas, TX",Central Time (US & Canada)
3,932375538102128640,"RT @AppleSupport: Forget your wallet. Set up Apple Pay, and shop with just your iPhone or Apple Watch. 

Learn more: https://t.co/ENfwjHHQH…",210,0,Twitter for iPhone,2017-11-19 22:30:25,133893710,khalifirgii,Firgi K. Setiawan,2010-04-16 22:56:57,Life is just !,326,183,"Depok, Indonesia",
4,932374454671376384,i dunno about you but i get a little boner whenever I use ApplePay,1,5,Twitter for iPhone,2017-11-19 22:26:07,937634498,ArfanHammid,Hammid Arfan,2012-11-09 19:49:44,,1764,573,Hull//Leeds ,Casablanca
5,932372665989521409,"RT @BKFUniversity: The question to ask yourself everytime you open your wallet ISNT “how do I make this easier to do next time”, the questi…",2,0,Twitter for iPhone,2017-11-19 22:19:00,930630641561063424,KimmieCocoa86,Kimmiejo,2017-11-15 02:56:50,“brown sugar makes everything a lil sweeter”,17,84,"Florida, USA",
6,932372136106254336,"The question to ask yourself everytime you open your wallet ISNT “how do I make this easier to do next time”, the q… https://t.co/hQIhn5ZSZO",2,2,Twitter for iPhone,2017-11-19 22:16:54,16068973,BKFUniversity,BlackDynamite,2008-08-31 18:16:23,Author of Brass Knuckle Finance. Purveyor of uncommon sense. This account teaches a #personalfinance class directly on social media for *BKF book owners.*,18375,13591,310/818 California,Pacific Time (US & Canada)
7,932368172694597633,"Today's the last day to get 15% off when you pay with @ApplePay ! If you try to pay with actual apples, though, we'll ask you to leave.",0,0,Twitter for Android,2017-11-19 22:01:09,20383181,Toy_Joy,Toy Joy,2009-02-08 18:37:01,"Think Fun - We are an independently owned toy store that has been a part of helping Austin, TX think fun since 1987. Shop for fun online: https://t.co/fZ1pgW0bYl",4395,77,"Austin, TX",Central Time (US & Canada)
8,932365116972191745,Could this be the beginning of the end for #Venmo? https://t.co/6coTerEpn2 #applepay #applepaycash #p2ppayments #payments,0,0,Sprout Social,2017-11-19 21:49:01,1394632111,AliantPayment,Aliant Payments,2013-05-01 13:08:12,"We are a credit card processing & independent merchant services provider, working in conjunction with the world’s leader in credit card & payment processing.",536,1315,"Ft. Lauderdale, FL",Eastern Time (US & Canada)
9,932353397256200197,I used ApplePay at Walgreens and they scanned the store rewards card at the counter which then got automatically ad… https://t.co/5u5pSbxB8u,0,9,Twitter for iPhone,2017-11-19 21:02:26,39342845,dyl_usional,another dylmension,2009-05-11 21:11:37,"Life is a race to the grave, and I'm not letting some asshole get a better seat ⚡️",499,364,⚡SYR // Generally Out Here⚡,Eastern Time (US & Canada)
10,932330100045107201,@KTM12XU I seek out places that use ApplePay in (a possibly futile) attempt to stave this off. Hate when I have to… https://t.co/9VxRz0HPOl,0,1,Twitter Web Client,2017-11-19 19:29:52,46029742,yenic,yenic,2009-06-10 03:47:10,"C# developer, Boglehead investor, UNI basketball & CLG fan, a Spanish loving gringo and registered independent.
Expect tweet entropy.",87,164,127.0.0.1,Central Time (US & Canada)
11,932326960251981824,Visa &amp; ApplePay going brazy this holiday szn...those POS systems better work flawlessly,0,0,Twitter for iPhone,2017-11-19 19:17:23,15745639,supreemeshay,seun,2008-08-06 03:38:00,investing & predicting trends in our digital economy | @investdetroitVC + #theHAPPENINGdet | hoyasaxa | i speak for myself & myself only,1592,1672,DMV to 313,Quito
12,932326424014479360,"🚚 ITUNES REDEEMERs

💲687 CONNECT💲
🤙🏿 🈴#TEAMSKIBO Still Buying iTunes, Amazon, ApplePay, GooglePay, Steam, Vanilla... https://t.co/5Scr40Vybs",0,0,Facebook,2017-11-19 19:15:15,290790448,Famousarc,ғaмoυѕarc,2011-04-30 22:55:10,,770,134,,
13,932315826534920194,RT @DaveTaylor: Use your Apple Watch to pay for things with Apple Pay? Here's how to set it all up on your iPhone: https://t.co/A79pm5J3wv…,1,0,Twitter Web Client,2017-11-19 18:33:09,590973748,ChChable,Chable Christophe,2012-05-26 14:38:20,,436,540,Somewhere in Europe,Paris
14,932315667876810752,Realized recently how important ApplePay on mobile web is as a option for vendors to sell independently of  Amazon.,0,8,Twitter for iPhone,2017-11-19 18:32:31,9870342,mhat,occascially matt,2007-11-02 01:04:10,¯\_(ツ)_/¯ recovering rick,792,541,San Francisco,Pacific Time (US & Canada)
15,932312228929425408,I forgot my wallet today and finally used my apple wallet for the first time in 4 stores and the subway. Not surpri… https://t.co/a3opyV9Tyj,0,7,Twitter for iPhone,2017-11-19 18:18:51,1452616772,AT_Fresh_Dev,Alex Tait,2013-05-23 21:52:54,Software Developer @rangleio. Vocalist & bandleader for @thespandettes,406,389,TORONTO,Pacific Time (US & Canada)
16,932311906584588289,"RT @ConnorDonald: Me before working at Apple: “technology is corroding the human spirit”
Me after working at Apple for a week: “if u don’t…",1,0,Twitter for iPhone,2017-11-19 18:17:34,498335368,Bwalker845,BWalk845,2012-02-20 23:06:58,22- IG-845Cole Snapchat- Gifted845,943,1063,845 NY,
17,932311776007524352,"RT @Vacatia: Book your holiday #familytravel with
5 ways to pay! 😎🌴🌵⛷
📍Credit Card
📍@AmazonPay
📍#ApplePay
📍2 to 4 interest-free ""flexpay"" p…",4,0,Twitter for Android,2017-11-19 18:17:03,2438215997,KatieLyon9,Katie Lyon,2014-03-26 16:55:01,My name is Katie and I love my family and friends!  ♡♡♡,55,1579,Fargo,Pacific Time (US & Canada)
18,932310321867321344,"RT @Vacatia: Book your holiday #familytravel with
5 ways to pay! 😎🌴🌵⛷
📍Credit Card
📍@AmazonPay
📍#ApplePay
📍2 to 4 interest-free ""flexpay"" p…",4,0,Twitter for Android,2017-11-19 18:11:16,2446605116,Maybach__Lanae,#TeamO and TB ❤️,2014-04-16 05:25:12,I love omarion ; been riding wid em since b2k TEAMOMARION . Teambreezy til the death baby; Christopher Maurice Brown ❤️,85,4859,in orbit w/ @1omarion,Pacific Time (US & Canada)
19,932309502115885057,"RT @Vacatia: Book your holiday #familytravel with
5 ways to pay! 😎🌴🌵⛷
📍Credit Card
📍@AmazonPay
📍#ApplePay
📍2 to 4 interest-free ""flexpay"" p…",4,0,Twitter for Android,2017-11-19 18:08:01,2448019105,DeenoLaGwaila,Deeno LaGwalla,2014-04-16 20:50:37,#teamfollowback! R.I.P MALIK SCOTT!!  Jus as Young as could be!!#realhillnigga,64,5001,tha 9th cloud from tha ground,
20,932309397698760706,"Me before working at Apple: “technology is corroding the human spirit”
Me after working at Apple for a week: “if u… https://t.co/b3ufdhr199",1,11,Twitter for iPhone,2017-11-19 18:07:36,3140215587,ConnorDonald,Connor McCausland,2015-04-06 12:32:30,I write comedy things and do standup. These: @mcsweeneys @aboveaverage @Weeklyhumorist @collegehumor @NeilRightNow I've also been to Italy which was great.,397,1034,"New York, NY",Eastern Time (US & Canada)
21,932308250518835201,"RT @Vacatia: Book your holiday #familytravel with
5 ways to pay! 😎🌴🌵⛷
📍Credit Card
📍@AmazonPay
📍#ApplePay
📍2 to 4 interest-free ""flexpay"" p…",4,0,RoundTeam,2017-11-19 18:03:03,59747580,bjkbrady,Janice Brady,2009-07-24 10:34:24,I haven't been everywhere - but it's definitely on my list! #TravelBlogger #FamilyTravel #FoodAllergyChronicles #FoodieFriday #BrandAmbassador #Disney,23671,12534,"Murrells Inlet, SC",Eastern Time (US & Canada)
22,932306967531462658,"Book your holiday #familytravel with
5 ways to pay! 😎🌴🌵⛷
📍Credit Card
📍@AmazonPay
📍#ApplePay
📍2 to 4 interest-free… https://t.co/d8r4GiKM92",4,1,Twitter Web Client,2017-11-19 17:57:57,1055969407,Vacatia,Vacatia,2013-01-02 19:55:06,The resort marketplace for vacationing families! Hawaii-Florida-Colorado-Mexico-Caribbean-Myrtle Beach-Branson-Park City-Tahoe-Whistler-Las Vegas-Scottsdale,9704,9309,"San Francisco, CA",Arizona
