USER/HASHTAG,Group_type,Group,APPLEPAY,APPLESUPPORT,FINTECH,MOBILEPAYMENTS,PAYPAL,MASTERPASS,ANDROIDPAY,VISACHECKOUT,SAMSUNGPAY,N26,RETAIL,APPLE,CYBERMONDAY,ECOMMERCE,PAYMENTS,TIMCOOK,BITCOIN,CASH,SFFED,JUSTGIVING,IPHONEX,APPLEWATCH,PUROMAC,TARGET,TYLERJAMES,IPHONE,SQUARE,OBSOLETEGENIUS,BLACKFRIDAY,FACEID,CHABLECHRISTOPHE,DANSTIEL,NFC,DAVIDBECKER,REVOLUTAPP,COMMBANK,WESTPAC,MONZO
APPLEPAY,MicroPayments,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,0,1,0,1,1,0,1,1,0,0,1,0,1,1,1,1
APPLE,Company,2,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,1
ANDROIDPAY,MicroPayments,1,1,0,1,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
MOBILEPAYMENTS,MicroPayments,1,1,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAMSUNGPAY,MicroPayments,1,1,0,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FINTECH,Business_type,3,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PAYPAL,MicroPayments,1,1,0,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MASTERPASS,MicroPayments,1,1,0,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VISACHECKOUT,MicroPayments,1,1,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PAYMENTS,MicroPayments,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
